Application,Launcher,Path,Icon Name
gMobileMedia (Mobile Media Browser),gmobilemedia,/usr/share/gmobilemedia/ui/gmobilemedia_icon.svg,gmobilemedia_icon
Gmsh,gmsh,/usr/share/pixmaps/gmsh_32x32.xpm,gmsh
Gmsh Mesh Generator,gmsh,/usr/share/pixmaps/gmsh_32x32.xpm,gmsh
GnoeMoe,gnoemoe,gnoemoe-logo.svg,gnoemoe
GNOME,gnome,,start-here-gnome
GNOME ALSA Mixer,gnome-alsamixer,/usr/share/pixmaps/gnome-alsamixer/gnome-alsamixer-icon.png,gnome-alsamixer-icon
Gnome Catalog,gnomecatalog,/usr/share/gnomecatalog/pixmaps/gcatalog.png,gcatalog
GNOME Color Chooser,gnome-color-chooser,gnome-color-chooser.svg,gnome-color-chooser
GNOME Flashback (Xmonad),gnome-flashback-xmonad,,xmonad
Gnome Paint Drawing Editor,gnome-paint,gp.png,gp
GNOME Schedule,gnome-schedule,/usr/share/pixmaps/gnome-schedule/gnome-schedule.svg,gnome-schedule
GNOME Split,gnome-split,/usr/share/pixmaps/gnome-split.png,gnome-split
GNOME Wave Cleaner,gwc,gwc.xpm,gwc
GNOME Weather,gnome-shell-extension-weather,org.gnome.Weather.Application,gnome-weather
GNOME Weather (Arch),org.gnome.Weather.Application,org.gnome.Weather.Application,gnome-weather
